"lon" "lat" "currentDist"
"499" 6 29 153
"500" 6 30 131
"501" 6 31 121
"502" 6 32 127
"503" 6 33 120
"504" 6 34 162
"505" 6 35 146
"506" 6 36 110
"507" 6 37 111
"508" 6 38 144
"509" 6 39 136
"510" 6 40 113
"511" 6 41 102
"512" 6 42 105
"513" 6 43 93
"514" 6 44 98
"515" 6 45 101
"516" 6 46 126
"517" 6 47 133
"518" 6 48 118
"519" 6 49 137
"520" 6 50 118
"521" 6 51 160
"522" 6 52 118
"523" 6 53 129
"524" 6 54 128
"525" 6 55 161
"526" 6 56 105
"527" 6 57 104
"528" 6 58 99
"529" 6 59 137
"530" 6 60 95
"531" 6 61 123
"532" 6 62 120
"533" 6 63 156
"534" 6 64 176
"535" 6 65 145
"536" 6 66 145
"537" 6 67 116
"538" 6 68 119
"539" 6 69 105
"540" 6 70 97
"541" 6 71 93
"542" 6 72 79
"543" 6 73 95
"544" 6 74 74
"545" 6 75 72
"546" 6 76 84
"547" 6 77 136
"548" 6 78 127
"549" 6 79 121
"550" 6 80 117
"551" 6 81 122
"552" 6 82 142
"553" 6 83 123
"554" 6 84 122
"555" 6 85 123
"556" 6 86 91
"557" 6 87 119
"558" 6 88 88
"559" 6 89 117
"560" 6 90 118
"561" 6 91 88
"562" 6 92 80
"563" 6 93 129
"564" 6 94 111
"565" 7 1 132
"566" 7 2 143
"567" 7 3 139
"568" 7 4 130
"569" 7 5 155
"570" 7 6 116
"571" 7 7 134
"572" 7 8 150
"573" 7 9 133
"574" 7 10 134
"575" 7 11 116
"576" 7 12 120
"577" 7 13 130
"578" 7 14 100
"579" 7 15 120
"580" 7 16 121
"581" 7 17 137
"582" 7 18 115
"583" 7 19 107
"584" 7 20 133
"585" 7 21 147
"586" 7 22 93
"587" 7 23 112
"588" 7 24 144
"589" 7 25 144
"590" 7 26 140
"591" 7 27 145
"592" 7 28 158
"593" 7 29 153
"594" 7 30 120
"595" 7 31 120
"596" 7 32 95
"597" 7 33 110
"598" 7 34 126
"599" 7 35 132
"600" 7 36 105
"601" 7 37 159
"602" 7 38 164
"603" 7 39 147
"604" 7 40 125
"605" 7 41 108
"606" 7 42 86
"607" 7 43 98
"608" 7 44 87
"609" 7 45 100
"610" 7 46 129
"611" 7 47 109
"612" 7 48 70
"613" 7 49 122
"614" 7 50 147
"615" 7 51 155
"616" 7 52 139
"617" 7 53 120
"618" 7 54 129
"619" 7 55 130
"620" 7 56 110
"621" 7 57 119
"622" 7 58 114
"623" 7 59 105
"624" 7 60 133
"625" 7 61 130
"626" 7 62 129
"627" 7 63 150
"628" 7 64 157
"629" 7 65 134
"630" 7 66 110
"631" 7 67 105
"632" 7 68 116
"633" 7 69 95
"634" 7 70 109
"635" 7 71 77
"636" 7 72 95
"637" 7 73 111
"638" 7 74 59
"639" 7 75 78
"640" 7 76 84
"641" 7 77 138
"642" 7 78 101
"643" 7 79 123
"644" 7 80 103
"645" 7 81 120
"646" 7 82 90
"647" 7 83 140
"648" 7 84 140
"649" 7 85 145
"650" 7 86 86
"651" 7 87 135
"652" 7 88 94
"653" 7 89 93
"654" 7 90 126
"655" 7 91 106
"656" 7 92 88
